Function,sup1,sup2,sup3,sup4,sup5,salary,gender,disabled,race,yearsInPosition,yearsInProfession,age,cred1,cred2,highestDegree,inst1,inst2,inst3,inst4,inst5,instBudget,City,State_x,Zip,country,Category,instSize,instType,T01,T09,T10,T11,T12,T13,T14,T15,T16,T19,T20,T21,T22,T23,T24,T25,T27,T28,T29,T40,T41,T50,T51,T53,T99,Place Name,State_y,State Abbreviation,County,Latitude,Longitude,Unnamed: 7
position4,0,0,0,0,0,20000.0,Woman,False,Caucasian,10.0,10.0,43.0,False,False,Bachelor's Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
position9,0,0,0,59,0,,Man,False,Caucasian,0.0,0.0,23.0,False,False,Bachelor's Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
position4,0,0,0,45,0,,Woman,False,Caucasian,0.0,0.0,23.0,False,False,Bachelor's Degree,11,2,2,196,2,1949000.0,Towson,MD,21252,United States,one,21960.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Baltimore,Maryland,MD,Baltimore,39.3888,-76.6133,
position1,3,0,0,10,20,63500.0,Man,False,Caucasian,2.0,2.0,43.0,False,False,Master's Degree,4,0,0,10,20,800000.0,McHenry,MD,21541,United States,two,873.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Mc Henry,Maryland,MD,Garrett,39.5656,-79.3823,
position17,0,0,0,1,4,35000.0,Woman,False,Caucasian,3.0,3.0,35.0,False,False,Associate's Degree,4,0,0,10,20,800000.0,McHenry,MD,21541,United States,two,873.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Mc Henry,Maryland,MD,Garrett,39.5656,-79.3823,
position6,0,0,0,0,12,35000.0,Woman,False,Caucasian,5.0,5.0,32.0,False,False,Bachelor's Degree,4,0,0,10,20,800000.0,McHenry,MD,21541,United States,two,873.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Mc Henry,Maryland,MD,Garrett,39.5656,-79.3823,
position4,0,0,0,10,5,35000.0,Man,False,Caucasian,1.0,1.0,23.0,False,False,Bachelor's Degree,4,0,0,10,20,800000.0,McHenry,MD,21541,United States,two,873.0,Public Institution,725694,4195996,30808,431851,475294,812739,3071,139346,402403,1531029,1358,1158,106658,18149,474475,36859,0,213324,1870,7773773,982784,213780,158844,0,197806,Mc Henry,Maryland,MD,Garrett,39.5656,-79.3823,
position1,1,0,0,40,1,63000.0,Man,False,Hispanic,11.0,24.0,53.0,True,False,Master's Degree,2,0,0,60,1,600000.0,Milwaukee,WI,53202,United States,one,2564.0,Private Institution,159069,4628338,57958,222,185502,1000595,0,379549,640728,466647,1785,666,20628,66962,467502,39691,72199,366526,4660,6793269,986464,0,51179,8984,11802,Milwaukee,Wisconsin,WI,Milwaukee,43.0506,-87.8968,
position22,0,0,0,17,0,44000.0,Man,False,Caucasian,8.0,8.0,44.0,False,False,Bachelor's Degree,2,0,0,60,1,600000.0,Milwaukee,WI,53202,United States,one,2564.0,Private Institution,159069,4628338,57958,222,185502,1000595,0,379549,640728,466647,1785,666,20628,66962,467502,39691,72199,366526,4660,6793269,986464,0,51179,8984,11802,Milwaukee,Wisconsin,WI,Milwaukee,43.0506,-87.8968,
position6,0,0,0,3,0,23000.0,Man,False,Caucasian,2.0,6.0,32.0,False,False,Bachelor's Degree,2,0,0,60,1,600000.0,Milwaukee,WI,53202,United States,one,2564.0,Private Institution,159069,4628338,57958,222,185502,1000595,0,379549,640728,466647,1785,666,20628,66962,467502,39691,72199,366526,4660,6793269,986464,0,51179,8984,11802,Milwaukee,Wisconsin,WI,Milwaukee,43.0506,-87.8968,
position1,7,17,0,250,3,80000.0,Man,False,Caucasian,2.0,19.0,45.0,False,False,Master's Degree,8,4,0,250,3,2676340.0,Eau Claire,WI,54702,United States,one,11067.0,Public Institution,159069,4628338,57958,222,185502,1000595,0,379549,640728,466647,1785,666,20628,66962,467502,39691,72199,366526,4660,6793269,986464,0,51179,8984,11802,Eau Claire,Wisconsin,WI,Eau Claire,44.7266,-91.2859,
position15,3,14,0,185,3,62000.0,Man,False,Caucasian,1.0,9.0,33.0,False,False,Master's Degree,8,4,0,250,3,2676340.0,Eau Claire,WI,54702,United States,one,11067.0,Public Institution,159069,4628338,57958,222,185502,1000595,0,379549,640728,466647,1785,666,20628,66962,467502,39691,72199,366526,4660,6793269,986464,0,51179,8984,11802,Eau Claire,Wisconsin,WI,Eau Claire,44.7266,-91.2859,
position22,2,0,0,65,0,51000.0,Man,False,Caucasian,10.0,30.0,57.0,False,False,Master's Degree,8,4,0,250,3,2676340.0,Eau Claire,WI,54702,United States,one,11067.0,Public Institution,159069,4628338,57958,222,185502,1000595,0,379549,640728,466647,1785,666,20628,66962,467502,39691,72199,366526,4660,6793269,986464,0,51179,8984,11802,Eau Claire,Wisconsin,WI,Eau Claire,44.7266,-91.2859,
position15,0,7,0,30,1,45000.0,Woman,False,Caucasian,1.0,1.0,23.0,False,False,Master's Degree,8,4,0,250,3,2676340.0,Eau Claire,WI,54702,United States,one,11067.0,Public Institution,159069,4628338,57958,222,185502,1000595,0,379549,640728,466647,1785,666,20628,66962,467502,39691,72199,366526,4660,6793269,986464,0,51179,8984,11802,Eau Claire,Wisconsin,WI,Eau Claire,44.7266,-91.2859,
position7,0,0,0,75,1,43000.0,Woman,False,Caucasian,5.0,5.0,29.0,False,False,Bachelor's Degree,8,4,0,250,3,2676340.0,Eau Claire,WI,54702,United States,one,11067.0,Public Institution,159069,4628338,57958,222,185502,1000595,0,379549,640728,466647,1785,666,20628,66962,467502,39691,72199,366526,4660,6793269,986464,0,51179,8984,11802,Eau Claire,Wisconsin,WI,Eau Claire,44.7266,-91.2859,
position9,0,0,0,60,0,46000.0,Man,True,Caucasian,14.0,22.0,50.0,False,False,Master's Degree,8,4,0,250,3,2676340.0,Eau Claire,WI,54702,United States,one,11067.0,Public Institution,159069,4628338,57958,222,185502,1000595,0,379549,640728,466647,1785,666,20628,66962,467502,39691,72199,366526,4660,6793269,986464,0,51179,8984,11802,Eau Claire,Wisconsin,WI,Eau Claire,44.7266,-91.2859,
position20,0,0,0,45,0,46000.0,Man,True,Caucasian,22.0,22.0,45.0,False,False,Master's Degree,8,4,0,250,3,2676340.0,Eau Claire,WI,54702,United States,one,11067.0,Public Institution,159069,4628338,57958,222,185502,1000595,0,379549,640728,466647,1785,666,20628,66962,467502,39691,72199,366526,4660,6793269,986464,0,51179,8984,11802,Eau Claire,Wisconsin,WI,Eau Claire,44.7266,-91.2859,
position5,0,0,0,25,0,43000.0,Woman,False,Caucasian,3.0,12.0,46.0,False,False,Master's Degree,8,4,0,250,3,2676340.0,Eau Claire,WI,54702,United States,one,11067.0,Public Institution,159069,4628338,57958,222,185502,1000595,0,379549,640728,466647,1785,666,20628,66962,467502,39691,72199,366526,4660,6793269,986464,0,51179,8984,11802,Eau Claire,Wisconsin,WI,Eau Claire,44.7266,-91.2859,
position1,7,5,4,75,0,70165.0,Woman,False,Caucasian,20.0,30.0,56.0,True,False,Master's Degree,6,5,4,75,0,2000000.0,La Crosse,WI,54601,United States,one,10385.0,Public Institution,159069,4628338,57958,222,185502,1000595,0,379549,640728,466647,1785,666,20628,66962,467502,39691,72199,366526,4660,6793269,986464,0,51179,8984,11802,La Crosse,Wisconsin,WI,La Crosse,43.7989,-91.2175,
